2025-02-06 22:51:52,933 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-12.0.15; built: 2024-11-05T19:44:57.623Z; git: 8281ae9740d4b4225e8166cc476bad237c70213a; jvm 21.0.5+11-LTS
2025-02-06 22:51:53,000 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started oeje8n.ContextHandler$CoreContextHandler@61e75569{/help,/help,b=null,a=AVAILABLE,h=oeje8n.ContextHandler$CoreContextHandler$CoreToNestedHandler@16fd5fbd{STARTED}}
2025-02-06 22:51:53,001 [Start Help Server] INFO  o.e.j.s.DefaultSessionIdManager - Session workerName=node0
2025-02-06 22:51:53,035 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@482a2d3b{HTTP/1.1, (http/1.1)}{127.0.0.1:62985}
2025-02-06 22:51:53,041 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started oejs.Server@2b05ddac{STARTING}[12.0.15,sto=0] @314377ms
2025-02-06 22:51:57,152 [Worker-4: Launching TechFest] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-06 22:51:57,155 [Worker-4: Launching TechFest] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\main\resources to target\classes
2025-02-06 22:51:57,161 [Worker-4: Launching TechFest] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-06 22:51:57,163 [Worker-4: Launching TechFest] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - skip non existing resourceDirectory C:\Users\acer\git\TechFest\src\test\resources
2025-02-06 22:51:57,317 [Worker-31: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-06 22:51:57,319 [Worker-31: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\main\resources to target\classes
2025-02-06 22:51:57,322 [Worker-31: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-06 22:51:57,324 [Worker-31: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - skip non existing resourceDirectory C:\Users\acer\git\TechFest\src\test\resources
2025-02-06 22:54:56,581 [Worker-11: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2025-02-06 22:54:56,887 [Worker-11: Updating Maven Project] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: TechFest:fest:0.0.1-SNAPSHOT @ C:\Users\acer\git\TechFest\pom.xml.
2025-02-06 22:54:57,605 [Worker-11: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fest/src/main/java
